

Oregon (PST) SNOTEL Site Mt Hood Test Site - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jun 30 09:45:48 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,SNWD.I-1 (in) ,
651,2023-06-12,09:00,     0.5,    77.7,    15.3,       3,
651,2023-06-12,10:00,     0.5,    77.6,    16.2,       3,
651,2023-06-12,11:00,     0.4,    77.6,    17.3,       2,
651,2023-06-12,12:00,     0.4,    77.5,    17.5,       3,
651,2023-06-12,13:00,     0.4,    77.4,    18.0,       2,
651,2023-06-12,14:00,     0.3,    77.4,    18.3,       2,
651,2023-06-12,15:00,     0.4,    77.3,    19.2,       2,
651,2023-06-12,16:00,     0.2,    77.3,    18.2,       1,
651,2023-06-12,17:00,     0.2,    77.2,    16.9,       1,
651,2023-06-12,18:00,     0.2,    77.3,    16.1,       2,
651,2023-06-12,19:00,     0.3,    77.2,    14.8,       2,
651,2023-06-12,20:00,     0.3,    77.3,    13.1,       2,
651,2023-06-12,21:00,     0.3,    77.5,    11.9,       2,
651,2023-06-12,22:00,     0.3,    77.5,    12.5,       2,
651,2023-06-12,23:00,     0.4,    77.6,    12.2,      55,
651,2023-06-13,00:00,     0.4,    77.6,    12.0,       2,
651,2023-06-13,01:00,     0.4,    77.6,    11.9,       2,
651,2023-06-13,02:00,     0.4,    77.6,    12.7,       2,
651,2023-06-13,03:00,     0.4,    77.6,    12.5,       2,
651,2023-06-13,04:00,     0.4,    77.6,    11.9,     239,
651,2023-06-13,05:00,     0.4,    77.6,    12.1,       2,
651,2023-06-13,06:00,     0.4,    77.6,    12.6,       2,
651,2023-06-13,07:00,     0.4,    77.6,    13.3,       2,
651,2023-06-13,08:00,     0.4,    77.6,    13.9,       1,
651,2023-06-13,09:00,     0.4,    77.6,    13.6,       1,
651,2023-06-13,10:00,     0.4,    77.6,    14.3,       2,
651,2023-06-13,11:00,     0.4,    77.5,    13.5,      61,
651,2023-06-13,12:00,     0.3,    77.5,    12.6,       2,
651,2023-06-13,13:00,     0.3,    77.5,    12.7,-99.9,
651,2023-06-13,14:00,     0.3,    77.5,    12.2,       2,
651,2023-06-13,15:00,     0.3,    77.5,    10.0,       2,
651,2023-06-13,16:00,     0.3,    77.5,     8.5,      53,
651,2023-06-13,17:00,     0.4,    77.7,     8.0,       2,
651,2023-06-13,18:00,     0.4,    77.6,     7.5,-99.9,
651,2023-06-13,19:00,     0.4,    77.7,     6.6,       2,
651,2023-06-13,20:00,     0.4,    77.8,     5.8,       2,
651,2023-06-13,21:00,     0.5,    77.8,     5.4,       2,
651,2023-06-13,22:00,     0.5,    77.8,     4.9,     239,
651,2023-06-13,23:00,     0.5,    77.8,     3.4,       2,
651,2023-06-14,00:00,     0.5,    77.9,     2.3,       3,
651,2023-06-14,01:00,     0.6,    77.9,     1.4,       3,
651,2023-06-14,02:00,     0.6,    77.9,     0.7,       2,
651,2023-06-14,03:00,     0.6,    78.0,     0.7,       2,
651,2023-06-14,04:00,     0.7,    78.0,     0.4,       2,
651,2023-06-14,05:00,     0.7,    78.0,     0.4,       3,
651,2023-06-14,06:00,     0.7,    78.0,     0.9,       2,
651,2023-06-14,07:00,     0.7,    78.0,     1.8,       2,
651,2023-06-14,08:00,     0.7,    78.0,     2.5,       2,
651,2023-06-14,09:00,     0.7,    78.0,     4.1,       2,
651,2023-06-14,10:00,     0.7,    78.0,     5.2,       2,
651,2023-06-14,11:00,     0.7,    77.6,     4.7,       3,
651,2023-06-14,12:00,     0.6,    77.6,     5.1,       3,
651,2023-06-14,13:00,     0.6,    77.6,     6.2,       2,
651,2023-06-14,14:00,     0.6,    77.6,     5.2,       3,
651,2023-06-14,15:00,     0.5,    77.6,     6.4,       3,
651,2023-06-14,16:00,     0.6,    77.6,     7.3,       2,
651,2023-06-14,17:00,     0.5,    77.5,     5.8,       3,
651,2023-06-14,18:00,     0.5,    77.6,     4.9,       3,
651,2023-06-14,19:00,     0.5,    77.6,     4.3,       3,
651,2023-06-14,20:00,     0.5,    77.6,     3.4,       3,
651,2023-06-14,21:00,     0.6,    77.6,     2.9,       3,
651,2023-06-14,22:00,     0.6,    77.6,     2.4,       3,
